KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
1,2023,Eléctrico,Sevilla,5,Sí,Automático ,Gris,Monovolumen,Opel,Combo,Combo-e Life XL Elegance Plus 100 kW (136 CV) 50 kWh 7 asientos,136 CV,Vehículo comercial,135 km/h,11.7 s,21 l/100km,0g CO2/km,4753 mm / 1848 mm / 1880 mm,Cero,35.900€
58.394,2022,Diésel,Sevilla,5,Sí,Manual ,Gris,Berlina,Citroen,C4,C4 BlueHDi 110 Feel Pack,110 CV,Turismo,193 km/h,10.5 s,4.3 l/100km,g CO2/km,4360 mm / 1800 mm / 1525 mm,C,18.900€
13.427,2023,Diésel,Los Barrios,5,Sí,Automático ,Blanco,Monovolumen,BMW,2 Series,218d Active Tourer Aut.,149 CV,Monovolumen,210 km/h,8.9 s,4.1 l/100km,109g CO2/km,4342 mm / 1800 mm / 1555 mm,C,33.900€
14.312,2023,Diésel,Los Barrios,5,Sí,Automático ,Blanco,Monovolumen,BMW,2 Series,218d Active Tourer Aut.,149 CV,Monovolumen,210 km/h,8.9 s,4.1 l/100km,109g CO2/km,4342 mm / 1800 mm / 1555 mm,C,34.800€
23.500,2022,Gasolina,Madrid,5,Sí,Manual ,Blanco,Todoterreno,Suzuki,Vitara,Vitara 1.4T GLE 4WD Mild Hybrid,129 CV,Todoterreno,190 km/h, s,6.2 l/100km,111g CO2/km,4175 mm / 1775 mm / 1610 mm,ECO,21.900€
12.000,2022,Gasolina,Murcia,False,Sí,Automático ,Rojo,Cabriolet,False,False,False,481 CV,False,False,False,False,False,False,False,124.900€
82.092,2021,Híbrido (Gasolina),Asturias,5,Sí,Manual ,Blanco,Todoterreno,False,False,False,140 CV,False,False,False,False,False,False,False,16.950€
69.400,2021,Híbrido Enchufable (PHEV),Fontellas,5,Sí,Automático ,Gris,Todoterreno,Opel,Grandland X,Grandland X Ultimate Híbrido Enchufable 4x4 1.6 Turbo 221 kW (300 CV),300 CV,Todoterreno,235 km/h,6.1 s,1.5 l/100km,34g CO2/km,4477 mm / 1856 mm / 1609 mm,Cero,24.950€
59.769,2021,Diésel,Fontellas,5,Sí,Manual ,Marrón,Todoterreno,Fiat,Tipo,Tipo Cross 1.6 Multijet 96 kW (130 CV),131 CV,Turismo,200 km/h,10.5 s,4.6 l/100km,g CO2/km,4386 mm / 1802 mm / 1556 mm,C,16.970€
116.426,2019,Gasolina,Alicante,5,Sí,Manual ,Marrón,Todoterreno,BMW,X1,X1 sDrive18i,140 CV,Todoterreno,205 km/h,9.7 s,5.8 l/100km,132g CO2/km,4439 mm / 1821 mm / 1598 mm,C,20.950€
74.501,2019,Gasolina,Fontellas,3,Sí,Manual ,Negro,Utilitario,Mini,One,One,102 CV,Turismo,181 km/h,10.9 s,6.6 l/100km,g CO2/km,3626 mm / 1688 mm / 1416 mm,B,16.990€
119.152,2013,Gasolina,Collado Villalba,4,Sí,Manual ,Azul,Berlina,Mercedes-Benz,Clase E,E 200 CGI BlueEFFICIENCY Berlina,183 CV,Turismo,232 km/h,8.5 s,7.2 l/100km,169g CO2/km,4868 mm / 1854 mm / 1471 mm,C,16.890€
135.415,2017,Diésel,Fontellas,5,Sí,Manual ,Gris,Utilitario,Mercedes-Benz,Clase A,A 180 CDI BlueEFFICIENCY,109 CV,Turismo,190 km/h,11.3 s,3.8 l/100km,98g CO2/km,4292 mm / 1780 mm / 1433 mm,B,16.490€
60.801,2017,Diésel,Torrejón de Ardoz,5,Sí,Manual ,Negro,Todoterreno,Jeep,Compass,Compass Longitude 1.6 MultiJet 88 kW (120 CV) 4x2,120 CV,Todoterreno,188 km/h,10.7 s,4.4 l/100km,117g CO2/km,4394 mm / 1819 mm / 1629 mm,C,17.950€
163.561,2007,Diésel,Sevilla,5,No,Manual ,Azul,Utilitario,Ford,Focus,Focus 5p Trend 1.8 TDCi 115cv,115 CV,Turismo,196 km/h,10.7 s,5.4 l/100km,g CO2/km,4152 mm / 1699 mm / 1430 mm,Sin etiqueta,5.290€
106.995,2016,Diésel,Quart de Poblet,4,Sí,Manual ,Gris,Furgoneta,False,False,False,116 CV,False,False,False,False,False,False,False,23.990€
78.339,2019,Gasolina,Sevilla,5,Sí,Manual ,Gris,Berlina,Renault,Clio,Clio 5p Expression Energy TCe 90 S&S eco2,90 CV,Turismo,182 km/h,12.2 s,4.5 l/100km,105g CO2/km,4062 mm / 1732 mm / 1448 mm,C,11.990€
186.130,2018,Diésel,Castilleja de la Cuesta,5,Sí,Automático ,Blanco,Todoterreno,Land Rover,Range Rover Evoque,Range Rover Evoque 5p 2.0 Td4 110 kW (150 CV) 4x4 Auto SE Dynamic,150 CV,Todoterreno,180 km/h,10.4 s,6.3 l/100km,166g CO2/km,4370 mm / 1900 mm / 1660 mm,C,19.900€
12.029,2023,Gasolina,Malla,5,Sí,Automático ,Amarillo,Berlina,Peugeot,208,208 Allure Pack PureTech 100 S&S EAT8,100 CV,Turismo,188 km/h,10.8 s,5.4 l/100km,g CO2/km,4055 mm / 1745 mm / 1430 mm,C,21.000€
13.221,2021,Gasolina,Zaragoza,5,Sí,Manual ,Gris,Todoterreno,Peugeot,2008,2008 GT Line 1.2 PureTech 130 S&S EAT6,130 CV,Todoterreno,203 km/h, s,5.2 l/100km,118g CO2/km,4159 mm / 1739 mm / 1570 mm,C,22.900€
148.969,2015,Gasolina,Esplugues de Llobregat,5,Sí,Manual ,Granate,Monovolumen,Citroen,Grand C4 Picasso,Grand C4 Picasso Intensive Plus PureTech 130,130 CV,Monovolumen,201 km/h,10.8 s,5 l/100km,116g CO2/km,4597 mm / 1826 mm / 1638 mm,C,12.200€
33.926,2021,Diésel,Jaén,5,Sí,Manual ,Blanco,Todoterreno,Jeep,Renegade,Renegade Sport 1.6 MultiJet 88 kW (120 CV) 4x2,130 CV,Todoterreno,178 km/h,10.2 s,4.4 l/100km,115g CO2/km,4236 mm / 1805 mm / 1667 mm,C,19.990€
71.000,2021,Gasolina,Xátiva,5,Sí,Manual ,Gris,Vehículo,Toyota,Proace City,Proace City Verso Family L1 1.2P 110 CV Active,110 CV,Vehículo comercial,174 km/h,11.5 s,6.4 l/100km,119g CO2/km,4403 mm / 1848 mm / 1880 mm,C,23.290€
45.000,2022,Gasolina,Xátiva,5,Sí,Manual ,Blanco,Todoterreno,Renault,Captur,Captur Techno TCe 67 kW (90 CV),90 CV,Todoterreno,168 km/h,14 s,5.8 l/100km,g CO2/km,4227 mm / 1797 mm / 1576 mm,C,20.750€
86.195,2019,Gasolina,Vizcaya,5,Sí,Manual ,Otros,Todoterreno,Peugeot,3008,3008 GT Line 1.2 PureTech 130 S&S,130 CV,Todoterreno,188 km/h,10.8 s,5.1 l/100km,117g CO2/km,4447 mm / 1841 mm / 1624 mm,C,17.890€
43.000,2020,Gasolina,Oviedo,5,Sí,Automático ,Otros,Familiar,SEAT,Leon,León ST 2.0 TSI 221 kW (300 CV) 4Drive DSG-7 Start&Stop CUPRA,300 CV,Turismo familiar,250 km/h,4.9 s,7.1 l/100km,161g CO2/km,4548 mm / 1816 mm / 1431 mm,C,29.480€
126.380,2017,Diésel,Vigo,4,Sí,Manual ,Blanco,Vehículo,Renault,Kangoo,Kangoo Combi 4X4 Extreme 1.9 dCi,75 CV,Vehículo comercial,146 km/h, s,7.4 l/100km,g CO2/km,4046 mm / 1672 mm / 1870 mm,Sin etiqueta,9.790€
105.000,2017,Diésel,Finestrat,5,Sí,Manual ,Blanco,Berlina,Audi,A1,A1 1.4 TDI ultra 90 CV Design,90 CV,Turismo,182 km/h,11.4 s,3.4 l/100km,89g CO2/km,3973 mm / 1740 mm / 1416 mm,C,16.490€
109.991,2019,Diésel,Valladolid,5,Sí,Manual ,Gris,Todoterreno,SEAT,Tarraco,Tarraco 2.0 TDI 110 kW (150 CV) Start&Stop Xcellence 7 plazas,150 CV,Todoterreno,202 km/h,9.8 s,4.9 l/100km,129g CO2/km,4735 mm / 1839 mm / 1658 mm,C,21.990€
10.399,2022,Diésel,Salamanca,5,Sí,Manual ,Blanco,Berlina,Renault,Clio,Clio Equilibre Blue dCi 74 kW (100 CV),100 CV,Turismo,188 km/h,11.4 s,4.1 l/100km,g CO2/km,4050 mm / 1798 mm / 1440 mm,C,16.980€
104.500,2019,Diésel,Finestrat,5,Sí,Automático ,Verde,Todoterreno,Peugeot,3008,3008 Active BlueHDi 130 S&S EAT8,130 CV,Todoterreno,192 km/h,11.5 s,4.1 l/100km,107g CO2/km,4447 mm / 1841 mm / 1624 mm,C,19.990€
72.596,2021,Diésel,Málaga,5,Sí,Automático ,Blanco,Todoterreno,Mercedes-Benz,GLA,GLA 200 d 4MATIC 8G-DCT,150 CV,Todoterreno,205 km/h,8.9 s,4.9 l/100km,130g CO2/km,4410 mm / 1834 mm / 1611 mm,C,39.990€
