KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
40.156,2019,Diésel,València,5,Sí,Automático ,Verde,Todoterreno,Citroen,C5 Aircross,C5 Aircross Shine BlueHDi 180 S&S EAT8,177 CV,Todoterreno,211 km/h,8.6 s,4.7 l/100km,124g CO2/km,4500 mm / 1840 mm / 1654 mm,C,20.900€
17.693,2022,Híbrido (Gasolina),València,4,Sí,Automático ,Gris,Sedan,DS,9,9 E-TENSE 360 4x4 Rivoli+,360 CV,Turismo,250 km/h,5.6 s,1.8 l/100km,g CO2/km,4934 mm / 1855 mm / 1460 mm,Cero,44.400€
1.489,2023,Híbrido (Gasolina),València,5,Sí,Automático ,Gris,Todoterreno,Alfa Romeo,Tonale,Tonale PHEV Q4 TI,280 CV,Todoterreno,206 km/h,6.2 s,1.3 l/100km,g CO2/km,4528 mm / 1841 mm / 1601 mm,Cero,43.900€
43.567,2019,Gasolina,Sevilla,5,Sí,Manual ,Blanco,Todoterreno,Peugeot,3008,3008 Crossway 1.2 PureTech 130 S&S,130 CV,Monovolumen,199 km/h,10.8 s,5.2 l/100km,120g CO2/km,4365 mm / 1837 mm / 1639 mm,C,19.990€
41.512,2020,Gasolina,Sevilla,3,Sí,Manual ,Rojo,Berlina,Fiat,500,500 1.0 Hybrid 51 kW (70 CV) Lounge,70 CV,Turismo,167 km/h,13.8 s,5.3 l/100km,88g CO2/km,3571 mm / 1627 mm / 1488 mm,ECO,12.490€
40.502,2019,Diésel,Sevilla,5,Sí,Manual ,Blanco,Todoterreno,Peugeot,2008,2008 Signature 1.6 BlueHDi 100 S&S,100 CV,Todoterreno,182 km/h, s,3.5 l/100km,93g CO2/km,4159 mm / 1739 mm / 1570 mm,C,15.490€
18.456,2023,Híbrido (Gasolina),Sevilla,5,Sí,Automático ,Gris,Todoterreno,Citroen,C5 Aircross,C5 Aircross Plug-in Hybrid 225 Shine Pack,225 CV,Todoterreno,225 km/h,8.9 s,1.3 l/100km,g CO2/km,4500 mm / 1840 mm / 1654 mm,Cero,34.900€
63.181,2019,Diésel,Sevilla,5,Sí,Manual ,Blanco,Berlina,Citroen,C4 Cactus,C4 Cactus BlueHDi 100 S&S Feel Edition,102 CV,Turismo,184 km/h,10.6 s,3.5 l/100km,92g CO2/km,4157 mm / 1729 mm / 1480 mm,C,13.500€
36.674,2021,Diésel,Sevilla,5,Sí,Automático ,Gris,Berlina,Citroen,C4,C4 BlueHDi 130 S&S EAT8 Feel Pack,130 CV,Turismo,210 km/h,9.5 s,4.6 l/100km,g CO2/km,4360 mm / 1800 mm / 1525 mm,C,19.950€
58.702,2021,Diésel,Sevilla,5,Sí,Manual ,Verde,Todoterreno,Citroen,C3 Aircross,C3 Aircross BlueHDi 110 S&S Shine,110 CV,Todoterreno,187 km/h,10.5 s,4.7 l/100km,g CO2/km,4154 mm / 1756 mm / 1597 mm,C,17.500€
71.436,2019,Gasolina,Almería,5,Sí,Automático ,Negro,Todoterreno,Volkswagen,T-Roc,T-Roc Advance 1.5 TSI EVO 110 kW (150 CV) DSG 7 vel.,150 CV,Todoterreno,205 km/h,8.4 s,5.4 l/100km,123g CO2/km,4234 mm / 1819 mm / 1573 mm,C,23.490€
76.538,2020,Diésel,Almería,5,Sí,Automático ,Blanco,Berlina,Mercedes-Benz,Clase A,A 180 CDI 5p Aut.,116 CV,Monovolumen,181 km/h,11.1 s,5.4 l/100km,142g CO2/km,3838 mm / 1764 mm / 1593 mm,B,25.490€
70.737,2019,Diésel,Almería,5,Sí,Manual ,Blanco,Berlina,Mini,Countryman,Cooper D Countryman ALL4,150 CV,Todoterreno,205 km/h,9 s,4.7 l/100km,124g CO2/km,4299 mm / 1822 mm / 1557 mm,C,23.490€
59.935,2021,Diésel,Almería,5,Sí,Automático ,Azul,Berlina,Audi,A3,A3 Sportback 35 TDI S tronic 7 vel.,150 CV,Turismo,218 km/h,8.1 s,4.4 l/100km,115g CO2/km,4313 mm / 1785 mm / 1426 mm,C,26.490€
11.175,2022,Gasolina,Granada,5,Sí,Manual ,Rojo,Berlina,SEAT,Leon,León ST 1.5 EcoTSI 96 kW (130 CV) Start&Stop FR,130 CV,Turismo familiar,207 km/h,9.5 s,5 l/100km,113g CO2/km,4548 mm / 1816 mm / 1439 mm,C,22.700€
20.755,2023,Gasolina,Granada,5,Sí,Automático ,Rojo,Todoterreno,SEAT,Arona,Arona 1.0 TSI 81 kW (110 CV) DSG 7 vel. Start/Stop Xcellence,110 CV,Todoterreno,190 km/h,10 s,5.8 l/100km,g CO2/km,4138 mm / 1780 mm / 1552 mm,C,22.400€
12.827,2023,Diésel,Granada,5,Sí,Automático ,Negro,Todoterreno,Peugeot,3008,3008 Allure 1.6 BlueHDi 120 EAT6,130 CV,Monovolumen,181 km/h,12.4 s,4.3 l/100km,112g CO2/km,4365 mm / 1837 mm / 1639 mm,C,32.700€
12.834,2023,Gasolina,Palma,5,Sí,Automático ,Blanco,Todoterreno,Peugeot,3008,3008 Active Pack PureTech 130 S&S EAT8,130 CV,Todoterreno,197 km/h,9.7 s,6.4 l/100km,g CO2/km,4447 mm / 1841 mm / 1624 mm,C,33.900€
55.983,2020,Gasolina,Palma,5,Sí,Manual ,Naranja,Todoterreno,Peugeot,2008,2008 GT Line 1.2 PureTech 130 S&S EAT6,130 CV,Todoterreno,203 km/h, s,5.2 l/100km,118g CO2/km,4159 mm / 1739 mm / 1570 mm,C,19.300€
