KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
120.000,2018,Gasolina,Vic,5,Sí,Manual ,Gris,Vehículo,Peugeot,Partner,Partner Tepee Active 1.2 PureTech 110,110 CV,Vehículo comercial,177 km/h,12.2 s,5.1 l/100km,119g CO2/km,4384 mm / 1810 mm / 1801 mm,C,13.700€
85.000,2019,Diésel,Badalona,5,Sí,Manual ,Blanco,Berlina,Renault,Megane,Mégane Berlina Limited Blue dCi 70 kW (95 CV),95 CV,Turismo,185 km/h,12.1 s,3.9 l/100km,101g CO2/km,4359 mm / 1814 mm / 1447 mm,C,14.490€
163.747,2015,Gasolina,Badalona,5,Sí,Manual ,Blanco,Familiar,SEAT,Leon,León ST 1.8 TSI 180 CV Start&Stop FR,180 CV,Turismo familiar,226 km/h,7.8 s,6 l/100km,138g CO2/km,4543 mm / 1816 mm / 1439 mm,C,12.490€
82.815,2019,Híbrido (Gasolina),Sabadell,5,Sí,Automático ,Gris,Berlina,Toyota,C-HR,C-HR Hybrid Active,122 CV,Todoterreno,170 km/h,11 s,3.8 l/100km,86g CO2/km,4360 mm / 1795 mm / 1555 mm,ECO,19.990€
41.740,2019,Gasolina,San Andrés de Palomar,5,Sí,Manual ,Otros,Todoterreno,Peugeot,5008,5008 Active PureTech 130 S&S,130 CV,Todoterreno,188 km/h,9.9 s,6.6 l/100km,117g CO2/km,4641 mm / 1844 mm / 1651 mm,C,21.490€
41.000,2022,Gasolina,Vilanova i la Geltrú,5,Sí,Manual ,Rojo,Todoterreno,Ford,KUGA,Kuga Vignale 1.5 EcoBoost Auto-Start-Stop 110 kW (150 CV) 4x2,150 CV,Todoterreno,195 km/h,9.7 s,7.2 l/100km,157g CO2/km,4541 mm / 1856 mm / 1703 mm,C,23.490€
30.000,2021,Gasolina,San Andrés de Palomar,5,Sí,Automático ,Otros,Todoterreno,Peugeot,5008,5008 GT Line PureTech 130 S&S EAT8,130 CV,Todoterreno,188 km/h,11.8 s,5.3 l/100km,122g CO2/km,4641 mm / 1844 mm / 1651 mm,C,28.290€
8.796,2021,Híbrido (Gasolina),San Andrés de Palomar,5,Sí,Automático ,Azul,Todoterreno,KIA,XCeed,XCeed 1.6 PHEV eMotion,141 CV,Todoterreno,160 km/h,11 s,1.7 l/100km,g CO2/km,4395 mm / 1826 mm / 1495 mm,Cero,25.990€
91.633,2019,Gasolina,Badalona,5,Sí,Manual ,Granate,Todoterreno,Mitsubishi,Eclipse Cross,Eclipse Cross 150T Challenge 2WD,163 CV,Todoterreno,205 km/h,10.3 s,6.6 l/100km,151g CO2/km,4405 mm / 1805 mm / 1685 mm,C,18.290€
93.766,2016,Gasolina,Sabadell,5,Sí,Manual ,Rojo,Berlina,DS,4,4 Crossback PureTech 130 S&S Desire,131 CV,Turismo,198 km/h,9.9 s,4.9 l/100km,112g CO2/km,4284 mm / 1810 mm / 1529 mm,C,11.990€
45.551,2021,Diésel,San Andrés de Palomar,5,Sí,Manual ,Negro,Todoterreno,Jeep,Compass,Compass Longitude 1.6 MultiJet 88 kW (120 CV) 4x2,130 CV,Todoterreno,188 km/h,10.7 s,4.4 l/100km,117g CO2/km,4394 mm / 1819 mm / 1629 mm,C,21.890€
76.000,2018,Gasolina,Badalona,5,Sí,Manual ,Gris,Berlina,Volkswagen,Golf,Golf Sportsvan Advance 1.0 TSI 81 kW (110 CV),110 CV,Monovolumen,192 km/h,10.7 s,5 l/100km,113g CO2/km,4351 mm / 1807 mm / 1613 mm,C,15.690€
82.000,2019,Gasolina,Sabadell,5,Sí,Manual ,Rojo,Berlina,Honda,Civic,Civic 5p 1.5 Turbo VTEC Sport,182 CV,Turismo,220 km/h,8.2 s,5.8 l/100km,133g CO2/km,4518 mm / 1799 mm / 1434 mm,C,23.490€
60.000,2014,Gasolina,Sabadell,3,Sí,Manual ,Gris,Berlina,Opel,Corsa,Corsa 3p Color Edition 1.4 100 CV Start/Stop,100 CV,Turismo,180 km/h,11.9 s,5.1 l/100km,120g CO2/km,3999 mm / 1713 mm / 1488 mm,C,8.990€
43.878,2018,Gasolina,Sabadell,5,Sí,Manual ,Blanco,Berlina,Dacia,Sandero,Sandero Stepway TCe 90,90 CV,Turismo,168 km/h,11.1 s,5.4 l/100km,125g CO2/km,4081 mm / 1733 mm / 1618 mm,C,11.490€
60.000,2017,Gasolina,Vilanova i la Geltrú,3,Sí,Automático ,Blanco,Berlina,Audi,A1,A1 1.4 TFSI 122 CV Attraction S tronic 7 vel.,125 CV,Turismo,203 km/h,8.9 s,5.2 l/100km,122g CO2/km,3954 mm / 1740 mm / 1416 mm,C,17.990€
30.245,2022,Diésel,San Andrés de Palomar,5,Sí,Manual ,Otros,Berlina,Citroen,C3,C3 BlueHDi 100 S&S Shine,102 CV,Turismo,188 km/h,10.2 s,4.5 l/100km,90g CO2/km,3996 mm / 1749 mm / 1474 mm,C,15.290€
49.883,2021,Diésel,San Andrés de Palomar,5,Sí,Automático ,Negro,Todoterreno,Peugeot,5008,5008 GT Line 1.5 BlueHDi 130 S&S EAT8,130 CV,Todoterreno,187 km/h,13.5 s,4.1 l/100km,108g CO2/km,4641 mm / 1844 mm / 1651 mm,C,29.490€
45.454,2021,Gasolina,Sabadell,5,Sí,Manual ,Naranja,Berlina,Ford,Focus,Focus Sportbreak ST3 2.3 EcoBoost 206 kW (280 CV),280 CV,Turismo familiar,250 km/h,5.8 s,8.2 l/100km,179g CO2/km,4668 mm / 1825 mm / 1492 mm,C,30.990€
83.352,2020,Diésel,Sabadell,5,Sí,Manual ,Gris,Berlina,False,False,False,130 CV,False,False,False,False,False,False,False,14.990€
165.600,2018,Diésel,Mataró,5,Sí,Automático ,Negro,Todoterreno,Peugeot,5008,5008 Active 1.5 BlueHDi 130 S&S EAT8,130 CV,Todoterreno,187 km/h,13.5 s,4.1 l/100km,108g CO2/km,4641 mm / 1844 mm / 1651 mm,C,17.990€
59.799,2019,Gasolina,Mataró,5,Sí,Manual ,Azul,Berlina,Dacia,Sandero,Sandero Stepway Comfort TCE 66 kW (90 CV),90 CV,Turismo,168 km/h, s,5.6 l/100km,127g CO2/km,4089 mm / 1761 mm / 1615 mm,C,10.990€
45.250,2020,Diésel,San Andrés de Palomar,5,Sí,Automático ,Blanco,Todoterreno,Mercedes-Benz,GLA,GLA 200 d 7G-DCT,150 CV,Todoterreno,205 km/h,9.1 s,4.2 l/100km,108g CO2/km,4424 mm / 1804 mm / 1494 mm,C,28.990€
60.489,2019,Gasolina,San Andrés de Palomar,5,Sí,Manual ,Negro,Todoterreno,BMW,X1,X1 sDrive18i,140 CV,Todoterreno,205 km/h,9.7 s,5.8 l/100km,132g CO2/km,4439 mm / 1821 mm / 1598 mm,C,23.490€
5.314,2023,Gasolina,Sabadell,5,Sí,Manual ,Naranja,Todoterreno,Mg,ZS,ZS Luxury 1.5 VTI-tech,106 CV,Todoterreno,175 km/h,10.9 s,6.6 l/100km,g CO2/km,4323 mm / 1809 mm / 1653 mm,C,17.790€
142.695,2016,Diésel,Sabadell,5,Sí,Automático ,Gris,Monovolumen,Peugeot,5008,5008 Allure 1.6 BlueHDi 120 EAT6 7 plazas,120 CV,Monovolumen,184 km/h,12.7 s,4.3 l/100km,112g CO2/km,4529 mm / 1837 mm / 1639 mm,C,10.990€
