KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
5,2023,Gasolina,Córdoba,5,Sí,Manual ,Gris,Todoterreno,Peugeot,3008,3008 Crossway 1.2 PureTech 130 S&S,130 CV,Monovolumen,199 km/h,10.8 s,5.2 l/100km,120g CO2/km,4365 mm / 1837 mm / 1639 mm,C,29.490€
55.391,2019,Diésel,Córdoba,5,Sí,Manual ,Blanco,Todoterreno,Citroen,C5 Aircross,C5 Aircross Live BlueHDi 130 S&S,131 CV,Todoterreno,189 km/h,10.4 s,4.1 l/100km,108g CO2/km,4500 mm / 1840 mm / 1654 mm,C,20.990€
101.261,2018,Gasolina,Leganes,5,Sí,Manual ,Gris,Berlina,Renault,Megane,Mégane Sport Tourer Life Energy TCe 74 kW (100 CV),101 CV,Turismo familiar,179 km/h,12.6 s,5.4 l/100km,120g CO2/km,4626 mm / 1814 mm / 1457 mm,C,11.390€
127.692,2017,Diésel,Leganes,5,Sí,Manual ,Blanco,Furgoneta,Renault,Kangoo,Kangoo Combi Expression Profesional 1.5 dCi 85 CV,90 CV,Vehículo comercial,158 km/h,16 s,5.3 l/100km,140g CO2/km,4213 mm / 1829 mm / 1819 mm,B,10.890€
131.398,2019,Diésel,Leganes,5,Sí,Manual ,Rojo,Monovolumen,Renault,Grand Scenic,Grand Scenic Zen Blue dCi 88 kW (120 CV) 7 plazas,120 CV,Monovolumen,185 km/h,15.2 s,4.8 l/100km,127g CO2/km,4634 mm / 1866 mm / 1655 mm,C,16.890€
94.190,2019,Gasolina,Leganes,5,Sí,Manual ,Gris,Familiar,Peugeot,308,308 SW Business Line PureTech 110 S&S,110 CV,Turismo familiar,189 km/h,11.5 s,5.7 l/100km,101g CO2/km,4585 mm / 1804 mm / 1470 mm,C,9.990€
31.942,2021,Gasolina,Elche/elx,5,Sí,Manual ,Negro,Berlina,Opel,Corsa,Corsa 1.2T 74 kW (100 CV) GS Line +,100 CV,Turismo,188 km/h,9.9 s,5.2 l/100km,g CO2/km,4060 mm / 1765 mm / 1435 mm,C,14.900€
1,2023,Híbrido (Gasolina),Zaragoza,5,Sí,Automático ,Blanco,Todoterreno,Citroen,C5 Aircross,C5 Aircross Plug-in Hybrid 225 Shine Pack,225 CV,Todoterreno,225 km/h,8.9 s,1.3 l/100km,g CO2/km,4500 mm / 1840 mm / 1654 mm,Cero,34.380€
1,2022,Híbrido (Gasolina),Hospitalet de Llobregat,5,Sí,Automático ,Blanco,Todoterreno,Citroen,C5 Aircross,C5 Aircross Feel Pack Hybrid 225,225 CV,Todoterreno,225 km/h,8.9 s,1.4 l/100km,g CO2/km,4500 mm / 1840 mm / 1654 mm,Cero,34.500€
82.348,2009,Gasolina,Esplugues de Llobregat,3,Sí,Manual ,Beige,Berlina,False,False,False,75 CV,False,False,False,False,False,False,False,6.500€
22.170,2022,Diésel,Asturias,5,Sí,Manual ,Otros,Todoterreno,Jeep,Renegade,Renegade Sport 1.6 MultiJet 88 kW (120 CV) 4x2,130 CV,Todoterreno,178 km/h,10.2 s,4.4 l/100km,115g CO2/km,4236 mm / 1805 mm / 1667 mm,C,22.490€
