KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
108.334,2019,Gasolina,Barcelona,5,Sí,Manual ,Azul,SUV,Hyundai,Kona,Kona 1.0 T-GDI 88 kW (120 CV) 4x2 Essence,120 CV,Todoterreno,181 km/h,12 s,5.5 l/100km,124g CO2/km,4165 mm / 1800 mm / 1550 mm,C,15.800€
200,2023,Diésel,Leganés,5,Sí,Manual ,Azul,SUV,Hyundai,TUCSON,Tucson Maxx 1.6 CRDi 48V 100 kW (136 CV),136 CV,Todoterreno,180 km/h,11.4 s,5 l/100km,g CO2/km,4500 mm / 1865 mm / 1650 mm,ECO,37.990€
50.005,2021,Gasolina,Jaén,5,Sí,Manual ,Gris,SUV,Hyundai,Bayon,Bayon 1.0 T-GDi 100 CV Essence,99 CV,Todoterreno,183 km/h,10.7 s,5.4 l/100km,g CO2/km,4180 mm / 1775 mm / 1500 mm,C,15.990€
14.907,2023,Gasolina,Elche,5,Sí,Manual ,Blanco,Coche,Hyundai,i30,i30 5p 1.5 DPI 81 kW (110 CV) Klass SLX,109 CV,Turismo,187 km/h,12.3 s,6.2 l/100km,g CO2/km,4340 mm / 1795 mm / 1455 mm,C,19.100€
24.671,2021,Gasolina,Ourense,5,Sí,Manual ,False,SUV,Opel,Crossland,Crossland X Edition 1.2 Turbo Start&Stop 81 kW (110 CV),110 CV,Monovolumen,187 km/h,10.9 s,5 l/100km,107g CO2/km,4212 mm / 1765 mm / 1605 mm,C,17.900€
42.223,2022,Diésel,Valencia,5,Sí,Manual ,False,SUV,Citroen,C3 Aircross,C3 Aircross BlueHDi 110 S&S Shine,110 CV,Todoterreno,187 km/h,10.5 s,4.7 l/100km,g CO2/km,4154 mm / 1756 mm / 1597 mm,C,15.990€
16.834,2023,Híbrido (Gasolina),Sant Feliu de Llobregat,5,Sí,Automático ,False,SUV,Peugeot,3008,3008 GT Hybrid 225 e-EAT8,225 CV,Todoterreno, km/h, s,1.4 l/100km,g CO2/km,4447 mm / 1841 mm / 1623 mm,Cero,33.990€
43.137,2019,Gasolina,Sant Feliu de Llobregat,5,Sí,Manual ,False,Familiar,Peugeot,308,308 SW Style 1.2 PureTech 130 S&S,130 CV,Turismo familiar,205 km/h,10 s,4.6 l/100km,106g CO2/km,4585 mm / 1804 mm / 1471 mm,C,14.990€
15.481,2023,Gasolina,Marbella,5,Sí,Automático ,False,Compacto,Peugeot,208,208 GT Line PureTech 100 S&S EAT8,100 CV,Turismo,188 km/h,11.9 s,3.9 l/100km,99g CO2/km,4055 mm / 1745 mm / 1430 mm,C,22.490€
1.647,2023,Gasolina,Marbella,5,Sí,Manual ,False,SUV,Peugeot,2008,2008 GT Line 1.2 PureTech 130 S&S EAT6,130 CV,Todoterreno,203 km/h, s,5.2 l/100km,118g CO2/km,4159 mm / 1739 mm / 1570 mm,C,24.490€
1.647,2023,Gasolina,Marbella,5,Sí,Manual ,False,SUV,Peugeot,2008,2008 Active Pack Puretech 100,100 CV,Todoterreno,188 km/h,10.9 s,5.4 l/100km,g CO2/km,4300 mm / 1770 mm / 1530 mm,C,23.490€
2.200,2023,Gasolina,Marbella,5,Sí,Manual ,False,Todo,Peugeot,2008,2008 Active Pack Puretech 100,100 CV,Todoterreno,188 km/h,10.9 s,5.4 l/100km,g CO2/km,4300 mm / 1770 mm / 1530 mm,C,24.990€
20.825,2023,Diésel,Sevilla,5,Sí,Automático ,False,Compacto,Peugeot,308,308 SW Active BlueHDi 130 S&S EAT8,130 CV,Turismo familiar,205 km/h,9.7 s,4.8 l/100km,g CO2/km,4585 mm / 1804 mm / 1470 mm,C,23.690€
